User Story,w_0,w_1
"As a Staff member, I want to Assign a Hearing Date, so that I can present the application to the appropriate governing body within the timelines dictated by the relevant County rules and procedures.",10,6
"As a Staff member, I want to Manage Affidavits, so that I can ensure compliance with the requirements prior to the hearing.",6,6
"As an Applicant, I want to Satisfy Hearing Requirements, so that I can ensure all pre-hearing requirements are satisfied in time for the hearing.",1,10
"As a Staff member, I want to Prepare for and Support Hearing Execution, so that I can ensure all pre-hearing requirements are satisfied and staff and Applicant are ready for the hearing.",3,1
"As a Staff member, I want to Capture a Hearing Decision, so that I can enforce the system.",9,1
"As a Staff member, I want to Process the Appeals, so that I can track the outcome and record the impact on the relevant records.",3,5
"As a Plan Review Staff member, I want to Assign Plans for Review, so that I can ensure plans have been assigned to the appropriate Plan Reviewer.",6,7
"As a Plan Review Staff Supervisor, I want to Manage Plan Reviewer Workload, so that I can monitor and effectively adjust workload as necessary and ensure service levels are met",7,3
"As an Applicant, I want to Request a Plan Review Meeting, so that I can meet with the Plan Review Staff regarding the plan review.",4,7
"As a Plan Review Staff member, I want to successfully Conduct a Plan Review Meeting with the Applicant and record the outcome, so that I can listen to it again.",9,6
"As a Plan Review Staff member, I want to Review Plans, so that I can review them for compliance and either approve, or fail or deny the plans and record any conditions, clearances, or corrections needed from the Applicant.",6,7
"As an Applicant, I want to Resubmit Plans, so that I can review revised plans. ",2,8
"As a Plan Review Staff Member, I want to Review the Code Modifications submitted by the Applicant, so that I can review the request and if approved, associate it with the appropriate project.",6,6
"As a Plan Review Staff member, I want to Track the Completion of Required Plan Reviews, so that I can ensure all plan review tasks are completed, results have been sent to the Applicant and any downstream steps are initiated such has a final review or payment for permit issuance.",7,1
"As a Development Staff member, I want to Issue a Development-related Permit, so that I can grant the request to the Applicant to begin work",1,10
"As a Staff member, I want to Manage Bonds, so that I can track and manage bonds throughout the lifecycle of the project until release.",1,10
"As an Applicant, I want to Complete Building Development Project, so that I can receive any posted bond and/or obtain occupancy.",9,1
"As an Applicant, I want to Complete Building Development Project, so that I can receive any posted bond and/or obtain occupancy.",2,2
"As a Customer, I want to Request Inspection, so that a County inspector is assigned to perform an inspection of my project.",8,2
"As an Inspection Staff member, I want to Create an Inspection, so that I can schedule and assign the inspection.",8,9
"As an Inspection Staff Supervisor, I want to Assign Inspections, so that I can make sure the appropriate Inspector receives the work.",2,3
"As an Inspection Supervisor, I want to Manage Inspector Workload, so that I can meet service level and quality requirements.",9,5
"As an Inspector, I want to Conduct Inspections, so that I can validate Customer compliance with code and regulations and provide results of the inspection to the Customer.",2,9
"As an Enforcement Staff member, I want to Issue a Notice of Violation, so that I can provide formal communication to the responsible party.",10,3
"As a l Staff member, I want to search for Property information, so that I can obtain all associated current and historic owners, permits, and applications.",10,10
"As a County Staff Member, I want to create a custom query/report outside of the common querying/reporting functionality, so that I can fulfill a request.",10,4
"As a Staff member, I want to create each condo unit, so that I can associate it to the child parcel and address after the condominiums are recorded in the system.",1,4
"As a Technical Staff member, I want to update the GIS Property Management, so that I can successfully update the transactional Parcel Pin to reference the GIS layer where the Split or Merged Parcel Pin exists.",3,6
"As a Staff member, I want to Send or Post Citations and Fines, so that I can successfully send the Notice Of Violation document to the property owner and log information about the action.",6,3
