User Story,w_0,w_1,w_2,w_3,w_4
"As a sponsor, I want to link BADCamp attendees to my sponsorship page, so that I can show off our level of attendance.",6,19,7,10,10
"As a authenticateduser, I want to update my user profile, so that I can connect with other Drupalists at BADCamp.",8,12,5,17,20
"As a anonymoususer, I want to sign up for the BADCamp newsletter, so that I can stay up to date with the latest communications about BADCamp.",1,29,1,4,1
"As a administrator, I want to tag my blog posts for consumption by Drupal Planet, so that they will be listed on the Drupal Planet blog.",3,22,1,8,10
"As a administrator, I want to create blog posts, so that I can share the latest information about BADCamp with the public.",3,19,7,18,9
"As a anonymoususer, I want to read the blog, so that I can stay informed about all the latest happenings with BADCamp.",8,13,2,3,8
"As a sponsor, I want to sponsor a summit that matches my brand, so that I can get exposure to potential customers and otherwise tout my Drupal credentials.",2,28,1,1,14
"As a attendee, I want to register for a summit, so that I can reserve my seat at the summit.",1,18,3,11,4
"As a attendee, I want to get detailed directions to the summit venue, so that I can get to the summit easily on the day of the event.",1,23,9,15,16
"As a attendee, I want to see what summits I'm signed up for, so that I can confirm my attendence and prevent myself from accidentally double-booking with a training or another summit.",8,30,9,10,6
"As a summit coordinator, I want to see a list of attendees signed up for my summit, so that I can communicate with my attendees by email prior to the event.",7,21,3,11,18
"As a summit coordinator, I want to list basic information about my summit, so that I can inform potential attendees on why they should attend my summit.",3,8,1,1,9
"As a summit coordinator, I want to list sponsors for my summit, so that I can make sure sponsors feel rewarded and will be interested in sponsoring in future years.",10,23,8,10,13
"As a summit coordinator, I want to list an agenda for my summit, so that I can entice attendees and give positive feedback to presenters to encourage participation.",1,29,6,3,10
"As a anonymoususer, I want to see how many seats are left for the summit, so that I can make sure to register in-time to reserve my spot.",7,22,1,12,19
"As a anonymoususer, I want to see specific details on summits, so that I can learn more about the summit I'm interested in to see if it matches my interests, register for the event, and get day-of knowledge to help me get to the location.",1,16,7,12,15
"As a anonymoususer, I want to see a list of all the summits, so that I can determine which summit I might be interested and able to attend.",7,22,8,13,8
"As a anonymoususer, I want to learn about sponsorship levels, so that I can determine the right level of sponsorship for my organization.",2,10,2,18,3
"As a authenticateduser, I want to use a WYSIWYG editor for all long-form content, so that I don't have to know HTML to update my content.",9,11,9,15,13
"As a sponsor, I want to Link to my sponsorship profile from my job listings, so that recruits can learn more about my organization.",5,19,7,18,6
"As a anonymoususer, I want to learn about posting jobs as a sponsor and contact the sponsorship person, so that I have the opportunty to post my job listing on the BADCamp site.",3,16,1,2,10
"As a sponsor, I want to post a job, so that I can hire top-tier Drupal talent.",7,6,5,6,8
"As a authenticateduser, I want to view the job board, so that I can look for an interesting Drupal gig!.",3,19,9,17,6
"As a administrator, I want to assign a room to a time slot and a location, so that I can populate the schedule .",10,29,4,14,2
"As a anonymoususer, I want to see the schedule, so that I can plan my day and figure out where to go!.",6,24,2,15,3
"As a anonymoususer, I want to see the final list of sessions approved, so that I can see what's going on at BADCamp .",6,14,4,15,12
"As a administrator, I want to bulk approve sessions as accepted, so that I can save time.",9,6,7,8,13
"As a administrator, I want to mark a session as accepted, so that I can populate the schedule .",4,28,8,16,8
"As a anonymoususer, I want to receive a notification when sessions have been evaluated, so that I know whether I've been accepted or rejected.",5,25,3,6,7
"As a anonymoususer, I want to receive a notification when I submit a session, so that know that my session went through ok.",6,30,5,19,7
"As a authenticateduser, I want to edit my session, so that if I make a mistake, I can correct it.",4,26,10,16,3
"As a anonymoususer, I want to register to speak at BADCamp, so that I submit a session.",10,9,2,16,2
"As a authenticateduser, I want to submit a session at BADCAMP, so that I can get my session evaluated.",4,29,8,4,14
"As a sponsor, I want to personalize my sponsorship page, so that I can promote my brand.",2,4,3,4,11
"As a anonymoususer, I want to see a list of all the summits that include when they are, so that I can determine which summit I want to attend.",10,29,9,12,7
"As a authenticateduser, I want to Be offered several choices of idividual sponsorship on the second page of registration, so that I can be awesome and financially support the camp.",2,8,7,7,11
"As a anonymoususer, I want to easily find a link in the menu that links to the registration form, so that I can easily register for the camp.",7,6,9,10,14
"As a anonymoususer, I want to fill out a user registration form, so that I can register for the camp and get an account on the website.",10,1,5,5,16
"As a anonymoususer, I want to find session information, so that I can go to a session.",9,23,5,10,6
