User Story,w_0,w_1,w_2,w_3,w_4,w_5
"As a researcher, I want to have accurate cross-collection citation information, so that I can find materials again.",3,31,16,4,13,8
"As a researcher, I want to access digitized archival materials without mediation, so that I can decide what, I want to look at.",24,5,20,13,13,8
"As an archivist, I want to distinguish between images scanned in color or black and white, so that I know whether or not these images meet publication requirements.",20,36,6,9,40,7
"As a researcher, I want to ask a question about a specific file, so that I can find out more information.",25,12,14,24,21,5
"As a researcher, I want to search OCRed text in all available digitized textual documents, so that I can more efficiently locate digitized documents relevant to my research.",7,30,7,22,39,6
"As a researcher, I want to know the date on which something was digitized, so that I know if it's been digitized since I last looked.",13,9,12,38,5,8
"As a researcher, I want to keyword search across all of an RF program officer's scanned diaries, rather than having to search each scanned diary segment separately, so that I can more efficiently locate diary entries relevant to my research.",2,32,9,5,8,8
"As an archivist, I want to access inventories for unprocessed collections, so that I can provide reference services to donors.",6,8,16,2,15,5
"As a researcher, I want to view thumbnails of photos, so that I can make a selection of which one I want to license.",34,4,19,26,33,8
"As a researcher, I want to know when only part of a folder has been digitized, so that I know if I am seeing everything or only a portion.",40,15,18,40,30,4
"As a donor representative, I want to see thumbnails of images, so that I can select which one I want.",29,33,14,29,23,10
"As an researcher, I want to view film clips, so that I can see excerpts of films.",14,34,12,12,14,10
"As an archivist, I want to search images by photographer.",39,31,2,13,24,6
"As an archivist, I want to search images by people represented in them.",28,18,12,2,5,9
"As an archivist, I want to search images by place the photo was taken.",20,27,19,14,15,5
"As an archivist, I want to search images by rights.",22,19,1,47,28,9
"As an archivist, I want to search index cards and other non-public finding aids, so that I can provide better research assistance.",2,18,1,46,1,2
"As an archivist, I want to view collection files, so that I can gain background information for processing a collection.",33,25,2,40,4,5
"As an archivist, I want to view physical locations for non-archival material, so that I can provide research services to donors.",15,39,14,2,23,6
"As an archivist, I want to find files that cannot be made publicly available, so that I can easily access everything that's been digitized.",4,6,18,50,37,2
"As an archivist, I want to access metadata and visual representations of index cards, so that I can use that information to assist researchers.",28,11,1,14,5,5
"As an archivist, I want to search individual material types.",13,1,11,6,19,9
"As an archivist, I want to search images by uploading an image, so that so I can find images when i don't have any metadata.",20,27,5,21,3,5
"As an administrator, I want to create user groups, so that I can control user permissions.",32,34,3,31,20,8
"As an administrator, I want to create user roles, so that I can group users by role.",12,37,5,4,2,2
"As an administrator, I want to assign RAC staff to different user groups, so that I can control read/write access.",31,18,4,19,9,5
"As an administrator, I want to assign rights to user groups or roles, so that I can control what users can and can't do.",33,29,3,40,8,7
"As an administrator, I want to allow users to log in using Active Directory credentials, so that I don't have to manage another set of usernames and passwords.",10,8,11,8,28,6
"As an administrator, I want to have researchers reset their own passwords, so that I don't have to send passwords in cleartext.",32,32,7,37,36,1
"As an administrator, I want to limit who can see certain metadata fields, so that I can show or hide things from display based on user groups.",19,36,13,14,29,3
