User Story,w_0,w_1,w_2,w_3,w_4
"As an Owner, I want to design an audit from the UI SME, so that I know the potential scope of the UI improvements want ed.",10,27,38,21,1
"As a Developer, I want to prevent users from double publishing FABS submissions after refreshing, so that there are no duplicates.",28,18,13,8,9
"As an data user, I want to receive updates to FABS records.",6,18,20,30,10
"As an Agency user, I want to be able to include a large number of flexfields without performance impact.",28,22,22,3,2
"As a Developer , I want to update the FABS sample file to remove FundingAgencyCode after FABS is updated to no longer require the header.",30,7,29,11,2
"As an agency user, I want to ensure that deleted FSRS records are not included in submissions.",34,31,12,17,10
"As a website user, I want to see updated financial assistance data daily.",7,23,29,5,10
"As a user, I want the publish button in FABS to deactivate after I click it while the derivations are happening, so that I cannot click it multiple times for the same submission.",14,49,20,25,2
"As a Developer , I want to ensure that attempts to correct or delete non-existent records don't create new published data.",38,37,38,13,9
"As an Owner, I want to reset the environment to only take Staging MAX permissions, so that I can ensure that the FABS testers no longer have access.",5,35,27,30,8
"As a user, I want the flexfields in my submission file to appear in the warning and error files when the only error is a missing required element.",8,14,1,20,4
"As a user, I want to have accurate and complete data related to PPoPCode and PPoPCongressionalDistrict.",7,15,10,11,4
"As an agency user, I want the FABS validation rules to accept zero and blank for loan records.",11,7,8,13,4
"As an Agency user, I want FABS deployed into production, so I can submit my Financial Assistance data.",35,37,9,30,10
"As a Developer , I want to clarify to users what exactly is triggering the CFDA error code in each case.",33,5,11,24,8
"As an agency user, I want to be confident that the data coming from SAM is complete.",20,50,4,30,7
"As a Developer , I want my domain models to be indexed properly, so that I can get validation results back in a reasonable amount of time.",2,23,36,12,5
"As an agency user, I want the FABS validation rules to accept zero and blank for non-loan records.",40,26,29,28,4
"As a broker team member, I want to make some updates to the SQL codes for clarity.",5,8,3,13,1
"As an agency user, I want to have all derived data elements derived properly.",40,49,29,3,3
"As a broker team member, I want to add the 00***** and 00FORGN PPoPCode cases to the derivation logic.",30,10,9,8,4
"As a data user, I want to see the office names derived from office codes, so that I can have appropriate context for understanding them.",6,34,31,3,5
"As a broker user, I want the historical FABS loader to derive fields, so that my agency codes are correct in the PublishedAwardFinancialAssistance table.",34,22,2,17,5
"As a broker team member, I want to ensure the Broker resources, validations, and P&P pages are updated appropriately for the launch of FABS and DAIMS v1.1.",20,3,2,26,7
"As a Developer, I want the data loaded from historical FABS to include the FREC derivations, so that I can have consistent FREC data for USASpending.gov.",2,31,19,21,2
"As a user, I don't want to see NASA grants displayed as contracts.",35,46,33,18,7
"As a user, I want the DUNS validations to accept records whose ActionTypes are B, C, or D and the DUNS is registered in SAM, even though it may have expired. ",5,16,30,24,8
"As a user, I want the DUNS validations to accept records whose ActionDates are before the current registration date in SAM, but after the initial registration date.",16,19,19,3,2
"As a broker team member, I want to derive FundingAgencyCode, so that the data quality and completeness improves.",32,7,21,11,2
"As an agency user, I want the maximum length allowed for LegalEntityAddressLine3 to match Schema v1.1.",5,4,1,3,5
"As an agency user, I want to use the schema v1.1 headers in my FABS file.",3,38,29,7,10
"As a agency user, I want to map the FederalActionObligation properly to the Atom Feed.",11,4,33,11,5
"As a Broker user, I want to have PPoPZIP+4 work the same as the Legal Entity ZIP validations.",9,6,23,5,4
"As a FABS user, I want to link the SAMPLE FILE on the ""What you want  to submit"" dialog to point to the correct file, so that I have an accurate reference for my agency submissions.",32,46,13,18,9
"As an Agency user, I want FPDS data to be up-to-date daily.",22,18,21,6,7
"As a user, I want to access the raw agency published files from FABS via USAspending.",25,15,17,21,4
"As a Developer , I want to determine how agencies will generate and validate D Files from FABS and FPDS data.",33,21,21,19,7
"As a user, I want to generate and validate D Files from FABS and FPDS data.",20,1,40,24,5
"As an Agency user, I want the header information box to show updated date AND time, so that I know when it was updated.",20,3,14,25,4
"As an Agency user, I want to receive a more helpful file-level error when I upload a file with the wrong extension.",26,23,36,11,2
"As a tester, I want to have access to test features in environments other than Staging, so that I can test any nonProd feature in any environment.",23,46,3,21,3
"As a FABS user, I want to submission errors to accurately represent FABS errors, so that I know why my submission didn't work.",9,18,15,26,1
"As a FABS user, I want the frontend URLs to more accurately reflect the page I'm accessing, so that I'm not confused.",10,18,35,8,6
"As an Agency user, I want all historical Financial Assistance data loaded for FABS go-live.",31,30,27,14,8
"As a Developer , I want the historical FPDS data loader to include both extracted historical data and FPDS feed data.",23,43,37,22,6
"As an Agency user, I want historical FPDS data loaded.",12,18,9,3,7
"As an Agency user, I want to accurately see who created a submission, so that I'm not confused about who last updated a submission.",3,50,2,7,4
"As an agency user, I want to get File F in the correct format.",16,13,24,7,3
"As an Agency user, I want to better understand my file-level errors.",40,43,6,26,10
"As a Developer , I want to provide FABS groups that function under the FREC paradigm.",30,18,1,21,8
"As a tester, I want to ensure that FABS is deriving fields properly through a robust test file plus a follow up check.",37,23,29,5,4
"As an owner, I only want zero-padded fields, so that I can justify padding.",4,13,4,29,5
"As a Broker user, I want to submit records for individual recipients without receiving a DUNS error.",17,35,26,26,9
"As a user, I want more information about how many rows will be published prior to deciding whether to publish.",18,37,18,1,7
"As a Developer, I want to prevent duplicate transactions from being published and deal with the time gap between validation and the publishing decision.",11,50,21,19,9
"As a FABS user, I want to submit a citywide as a PPoPZIP and pass validations.",13,21,5,20,9
"As a Broker user, I want to have updated error codes that accurately reflect the logic and provide enough information, so that I can fix my submission.",5,30,13,15,8
"As an agency user, I want to leave off the last 4 digits of the ZIP without an error, so that I can complete my submissions.",2,47,17,6,6
"As a FABS user, I want to make sure the historical data includes all necessary columns, so that the information in the database is correct.",32,49,4,22,4
"As a data user, I want to access two additional fields from the FPDS data pull.",26,31,37,13,6
"As a FABS user, I want additional helpful info in the submission dashboard, so that I can better manage submissions and IG requests.",38,43,16,25,8
"As a FABS user, I want to download the uploaded FABS file, so that I can get the uploaded file.",30,20,22,28,1
"As a Developer I want to quickly access Broker application data, so that I can investigate issues.",40,6,28,7,9
"As a Developer , I want to determine the best way to load historical FPDS data, so that I can load all FPDS data since 2007.",5,7,35,12,7
"As a FABS user, I want the language on FABS pages to be appropriate for me, so that I am not confused.",36,9,20,15,9
"As a FABS user, I do not want  DABS banner messages and vice versa, so that I have the appropriate information for my application.",24,13,28,28,1
"As a FABS user, I want to have read-only access to DABS, so that I can view DABS pages without wanting two sets of permissions.",31,10,20,19,3
"As a FABS user, I want to have my validations run in a reasonable amount of time.",5,36,5,26,8
"As a FABS user, I want to see correct status labels on the Submission Dashboard, so that I can quickly see my submission history.",11,40,38,26,7
"As an agency user, I want to know when the submission periods start and end, so that I know when the submission starts and ends.",16,15,12,4,2
"As an agency user, I want a landing page to navigate to either FABS or DABS pages, so that I can access both sides of the site.",27,6,20,16,9
"As an agency user, I want to submit my data elements surrounded by quotation marks, so that Excel won't strip off leading and trailing zeroes.",13,11,28,11,10
