User Story,w_0,w_1,w_2,w_3,w_4,w_5
As a DAMS manager I want to know what collection(s) an object belongs to. ,50,19,5,29,19,4
"As a user, I want to know what repository an object belongs to. ",17,15,9,10,14,15
"As a user, I want to know what collection(s) an object belongs to. ",27,29,3,26,18,3
"As a user, I want to see all the component parts of an object. ",45,24,5,6,13,5
"As a user, I want to have access to the content files for an object. ",44,25,1,30,8,3
"As a user, I want to know the rights status of an object. ",30,14,7,25,13,8
"As a user, I want to know about other versions of the object or its metadata that might be of use to me. ",1,27,7,17,2,4
"As a repository manager, I want to represent the physical and/or logical structure of an object. ",50,14,2,15,8,11
"As a repository manager, I want to list all the components, in their appropriate order, for an object. ",18,14,2,16,9,3
"As a repository manager, I want to link, when appropriate, a component to another component or to a file. ",12,1,5,29,11,20
"As a repository manager, I want to describe each component as necessary, including title, date(s), language(s), and other facets. ",12,1,6,9,6,15
"As a repository manager, I want to indicate any name that is pertinent to the component. ",43,7,1,18,19,4
"As a repository manager, I want to indicate any subject that is pertinent to the component. ",44,12,8,17,2,8
"As a repository manager, I want to indicate if the component has a copyright status different than that of of the object as a whole. ",10,4,8,21,20,14
"As a repository manager, I want to indicate if a statute pertains to the component, apart from the object as a whole. ",18,17,2,1,12,20
"As a repository manager, I want to indicate if a license pertains to the component, apart from the object as a whole. ",26,29,6,19,5,2
"As a repository manager, I want to indicate if other rights pertain to the component, apart from the object as a whole. ",30,1,10,15,8,4
"As a repository manager, I want to know all events occurring to a component over its life cycle. ",1,12,2,29,1,15
"As a DAMS manager, I want to present in their assigned order all components comprising an object. ",29,2,1,13,12,19
"As a user, I want to be able to see and navigate the component hierarchy of an object. ",3,1,6,23,9,3
"As a repository manager, I want to know all the content files in the DAMS for my repository's objects. ",33,3,3,27,1,15
"As a repository manager, I want to associate a content file with either an object or an object component. ",36,25,10,16,9,20
"As a repository manager, I want to know any event that occurred to a content file for any of my repository's objects. ",45,21,5,22,11,14
"As a DAMS manager, I want to indicate to preservation managers aspects of a master file useful for monitoring its integrity, and impending obsolescence, including file size, creation date, file format and format version. ",41,30,2,27,15,16
"As a DAMS manager, I want to indicate to preservation managers the checksum and checksum method for each master file for a given object. ",20,6,8,4,3,14
"As a DAMS manager, I want to indicate the source-capture information for a file where it is useful to do so. ",14,21,10,18,6,16
"As a DAMS manager, I want to know, via preservation managers, of any object for which integrity or authenticity is in question or that has been updated to a more current file format. ",15,5,2,29,9,17
"As a user, I want access to content files that comprise an object, so that I can decide whether a file is too large to download.",35,4,8,5,12,14
"As a repository manager, I want to provide a title, in all useful forms, for my repository's collections, objects, and object components. ",48,2,8,9,4,14
"As a repository manager, I want to know any changes occurring to titles for repository's collections, objects, and object components. ",36,4,9,17,9,11
"As a DAMS manager, I want to present collections, objects, and object components by title. ",10,25,8,5,7,12
"As a user, I want to search collections, objects, and object components by title. ",25,17,3,27,7,10
"As a repository manager, I want to indicate for an object or object component the place of publication, the publisher, edition, etc., when pertinent. ",26,9,2,8,9,3
"As a repository manager, I want to know of any changes made to the origin Info for an object, including its component parts. ",21,29,9,4,1,13
"As a user, I want to know for an object or its component parts the place of publication, the publisher, etc.",27,1,4,8,2,1
"As a repository manager, I want to describe various facets of a collection, object, or object component that are not addressable via title, date, name, and subject entities. ",10,25,1,29,12,17
"As a repository manager, I want to know of all modifications made to notes for my repository's collections, objects, or object components. ",3,24,7,11,20,17
"As a user, I want to know about various facets of a collection, object, or object component, such as scope and content, various identifiers, conditions governing use/access, etc.  ",18,20,1,4,19,12
"As a repository manager, I want to indicate the language(s) for present in a collection, object, or object component. ",8,27,1,15,5,9
"As a repository manager, I want to know of any changes made to language(s) indicated for a collection, object, or object component. ",28,9,8,28,17,13
"As a user, I want to scope my searches for collections, objects, or object components to a specific language. ",47,29,5,13,14,3
"As a repository manager, I want to register a name record for each unique identity associated with my repository's collections and objects. ",38,13,5,17,5,10
"As a user, I want to search by for collections and objects by name. ",19,16,2,6,16,8
"As a repository manager, I want to indicate that a name pertinent to a collection, object, or object component has a specific role, such as illustrator, photographer, etc. ",23,23,6,24,10,15
"As a user, I want to scope by searches by name to a specific role such as illustrator, photographer, etc. ",46,21,2,25,8,10
"As a repository manager, I want to indicate all subjects that are pertinent to a collection, object, or object component. ",1,23,2,28,17,9
"As a user, I want to search for collections, objects, and object components by pertinent such headings, including title, topic, genre/form, geographical name, function, occupation, name, cartographics, etc. ",11,5,2,8,7,4
"As a repository manager, I want to indicate the geo-coordinates for any resource that believe useful to an end user. ",26,19,1,26,14,5
"As a user, I want to see the geographical context of a collection, object, or object component, where pertinent. ",24,14,5,8,12,13
"As a repository manager, I want to indicate all other pertinent versions or descriptions of a resource that are external to the DAMS. ",33,3,7,4,12,12
"As a user, I want to know of all other pertinent versions or descriptions of the resource. ",5,26,9,19,5,11
"As a repository manager, I want to know if the checksum for any of my repository's content files that have changed.",9,9,10,10,6,2
"As a DAMS manager, I want to know, via the preservation manager, of all files for which the checksum has changed since last registered.",7,3,5,4,5,9
"As a repository manager, I want to know, where pertinent, the hardware and software used to generate a content file. ",44,7,9,14,20,11
"As a DAMS manager, I want to know what objects or object components are still under copyright and cannot be displayed without either a license or incurring risk. ",20,2,2,12,6,13
"As a DAMS manager, I want to know when copyright for an object or object component is likely to expire per jurisdictional copyright statute. ",14,9,5,7,6,20
"As a DAMS manager, I want to know when the copyright status for an object or object component is modified, either manually or automatically. ",20,24,4,14,9,3
"As a user, I want to know if an object or object component is under copyright and, where possible, who the rights holder is. ",46,27,5,10,20,18
"As a DAMS manager, I want to know all the statutes pertinent to an object or object component. ",45,29,7,15,20,9
"As a DAMS manager, I want to know when the pertinence of a statute to a object or object component is scheduled to expire. ",39,8,5,1,3,13
"As a DAMS manager, I want to know when the application of a statute to an object or object component has been modified, either manually or automatically. ",30,2,9,30,11,13
"As a DAMS manager, I want to know if copyrighted content has an applicable license. ",12,2,10,5,1,11
"As a DAMS manager, I want to know if an object or object component is subject to a library policy that restricts access in any way. ",41,14,8,2,1,8
"As a DAMS manager, I want to know when application of a library policy to an object or object component is scheduled to expire. ",15,27,10,18,12,8
"As a DAMS manager, I want to know if application of a library policy to an object or object component has been modified, either manually or automatically.",40,23,8,2,18,4
"As a DAMS manager, I want to know all the uses for an object or object component that are permitted or restricted per the rights status of the object or object component.",17,26,7,29,5,15
"As a DAMS manager, I want know the dates for when a permission or restriction is active. ",40,9,6,22,16,15
"As a DAMS manager, I want to know when permitted and restricted acts and/or their active dates are modified. ",40,26,6,8,7,6
"As a DAMS manager, I want to track all events scheduled for recording in the DAMS. ",42,4,5,17,2,5
"As a DAMS manager, I want to know the agent(s) responsible for carrying out an event. ",43,11,7,7,15,19
"As a DAMS manager, I want to know when the event occurred. ",39,21,3,17,9,1
"As a DAMS manager, I want to know the outcome of the event, e.g., object NN was deleted. ",17,13,1,13,14,11
