User Story,w_0,w_1,w_2,w_3,w_4
"As an API User, I want to be able to normalise measures by population, So that I work with datasets in reference to their contextual constraints.",33,32,10,4,4
"As an API User, I want to be able to normalise measures by geographical area, So that I work with datasets in reference to their contextual constraints.",36,31,8,14,4
"As an API User, I want to be able to normalise measures by GDP, so I work with datasets in reference to their contextual constraints.",16,14,1,1,1
"As an API User, I want to be able to normalise measures by GINI and related socioeconomic indexes, So that I work with datasets in reference to their contextual constraints.",33,36,15,11,9
"As an API User, I want to be able to get a relative percentage of a measure to the total of the dataset it comes from, So that I can build alternative displays of the data.",16,40,23,19,7
"As an API User, I want to be able to persistently store visualisation state in the database, So that such can be shared more easily and contribute to a visualisation gallery.",18,3,22,6,1
"As a Data Publishing User, I want to have my dataset update automatically as the source file/files changes, So that OpenSpending always shows current data.",18,8,29,7,2
"As an OpenSpending Community Member, I want to have a blog that highlights any and all projects in the open fiscal space, So that I can relate to openspending.org as the central hub of fiscal openness.",9,4,11,18,5
"As a User, I want to be able to set my own username, So that my data is more easily discoverable.",14,6,27,8,10
"As a Data Publishing User, I want to be able to add a dataset in a Hidden state, So that I can work on a dataset before having it discoverable via OpenSpending user interfaces.",1,9,23,10,7
"As a Data Publishing User, I want to be able to Hide a dataset that I have already added as Public, So that I can fix my mistakes or have a dataset primarily for my own use.",11,49,14,12,1
"As a Data Publishing User, I want to have a view on all the datasets I have published, So that I can perform management actions on my own datasets.",44,4,18,7,10
"As a Data Publishing User, I want to have a functioning Python Client, So that I can add data to the datastore in bulk from the command line or my own programs.",41,39,7,20,8
"As an OpenSpending Community Member, I want to have an app where I can find examples of use of fiscal data visualisations, So that I can find guidance in creating my own with Open Spending.",47,4,20,7,3
"As a Data Publishing User, I want to know if my CSV file is valid, So that I can fix possible data issues before publishing it on Open Spending.",34,14,26,20,8
"As a Data Consuming User, I want to be able to search any dataset published and publicly accessible by their title and metadata, So that I can find the datasets I'm interested in.",26,45,14,13,5
"As a Data Consuming User, I want to visualize by default in treemap, bubble tree, map and pivot table the most recent year when my dataset contain multiple years, So that I'm not confused with the amounts.",45,1,9,7,3
"As an API user, I want to be able to change the colors of the embedded visualisations in my own platform, So that I can customize the visualisations.",31,23,3,4,1
"As an API user, I want to be able to change some of the styling of the embedded Viewer in my own platform, So that I can brand it to my own organisation's color scheme.",30,14,22,6,6
"As a Platform administrator, I want to be able to translate the data types hierarchies of the Viewer while in embed mode, So that my users can understand the interface in their native language.",32,27,6,2,5
