User Story,w_0,w_1,w_2,w_3
"As a data reuser, I want to get a persistent URL for a dataset, so that I can get back to the data in future.",19,5,1,18
"As a data reuser, I want to search the archive through Primo , so that I can search books, articles and data all in one place.",23,21,10,12
"As a data reuser, I want to see different versions of a dataset at a glance, so that I can be sure I'm using the right version of the dataset.",20,25,8,20
"As an externalcollaborator, I want to gain privileged access to data for projects in which I am involved, so that I can collaborate effectively.",40,3,8,8
"As an externalcoordinator, I want to have guarantees that my IP rights will not be breached, so that the risk of collaborating with Bath is acceptable to me.",3,20,8,20
"AS an externalcoordinator, I want to access data from Bath collaborators off campus, so that I can collaborate effectively.",22,33,2,18
"As a research facility manager, I want to deposit data from my facility directly into the archive on behalf of researchers, so that I am no longer required to maintain my own archive of facility data and researchers can access their own data as needed. ",37,27,6,4
"As a Bath Data Archive administrator, I want to make some checks on deposited datasets before they are made public, so that consistent quality of metadata is maintained, compliance with policies can be checked and details of licensing can be checked.",24,16,10,4
"As a Bath Data Archive administrator, I want to require a minimum set of metadata, so that consistent quality of metadata is maintained.",35,23,7,19
"As a Bath Data Archive administrator, I want to approve scheduled disposal of data, so that data which is still required is not destroyed.",38,39,6,15
"As a Bath Data Archive administrator, I want to query the entire archive , so that I can report on particular aspects of the archive holdings.",7,6,5,11
"As a Bath Data Archive administrator, I want to import Bath data from an external data centre wholesale, so that Bath data holdings in external archives are not lost if they close down.",17,5,2,16
"As a Bath Data Archive administrator, I want to encourage and promote the use of open standards for deposit, so that data is as reusable as possible.",4,35,4,13
"As a Research Information manager, I want to integrate the archive with CRIS, so that I can analyse impact of research data publication I can link funding to all of the outputs it produces.",28,15,10,9
"As a Research Information manager, I want to include records for externally held data complete, so that the university's record of data holdings is complete.",32,7,10,1
"As a Research Information manager, I want to track citation counts for published datasets, so that impact of datasets within academia can be demonstrated.",20,7,9,20
"As a Research Information manager, I want to segment the view and download statistics by country and sector so that impact of datasets outside academia can be demonstrated.",25,7,3,5
"As a Research Information manager, I want to have datasets linked to metadata about projects, so that I can report on projects depositing datasets in relation to funder requirements.",10,22,6,20
"As an UnivITservice, I want to store archived data on existing storage systems, so that university data storage is consistent and maintainable and future availability of data can be guaranteed.",40,8,6,2
"As an UnivITservice, I want to integrate the archive with existing university systems such as LDAP, so that the cost of administering the system can be kept low.",1,29,8,13
"As an UnivITservice, I want to store archived data directly on the HCP object store, so that  features can be made.",15,21,6,17
"As an UnivITservice, I want to be able to export all data to a different system, so that I am not tied into one system which may not be the most appropriate at some point in the future.",24,7,6,18
"As a developer, I want to deposit and maintain datasets via an API such as SWORD2, so that my service can interact with the archive. ",40,24,4,10
"As an academicpublisher, I want to make persistent web links between my articles and underlying datasets, so that my journals can be seen to be filled with robust, high quality research. ",2,25,4,2
"As a fundingbody, I want to be reassured that researchers I fund have robust archival plans for their data, so that I can be sure that funding them is a worthwhile investment.",29,37,8,17
"As a fundingbody, I want to harvest metadata on outputs from research I fund, so that I can analyse effectiveness of funding strategy and I can encourage cross fertilisation of research outputs.",30,4,9,19
