User Story,w_0,w_1,w_2,w_3,w_4
"As a patron, I want to browse content by author or subject area to locate needed resources.",7,4,27,19,30
"As a DB/IR administrator, I want to manage subject classifications for ease of patron browsing and searching.",10,28,47,2,5
"As a DB/IR administrator, I want to manage customizable relationship groups in support of patron see also option.",4,1,34,15,19
"As a Cornell faculty member, I want to search for the dissertations in the repository for which I have been a thesis committee member, to quickly find work by a former student.",10,15,45,11,10
"As a library staff member, I want to make digital items held in trusted external system searchable within our system, so that I can provide seamless access to disparate collections.",17,27,23,1,19
"As a researcher, I want to have information that will help me identify other faculty I might partner/collaborate with.",7,3,33,9,26
"As an externaluser, I want to easily find and access research and educational materials from Cornell faculty related to a particular topic, which I can use to develop stronger research/evidence based programming, grant proposals, community policy, or business practices.",11,32,45,7,7
"As a student, I want to learn who at Cornell has or is engaged in research related to a particular topic, so that I can decide if I would like to pursue studies/research at Cornell.",6,25,48,13,29
"As a student, I want to learn who at Cornell has or is engaged in research related to a particular topic, so that I can find an appropriate advisor, choose which courses to enroll in, and identify work/internship opportunities.",4,37,20,17,29
"As a teachingfacultymember, I want to identify timely and relevant research suitable for use in my curriculum, and be notified of new research/content.",7,5,45,10,11
"As a patron, I want to view multiple versions of a report/dataset to get both timely and historical information.",13,6,32,13,15
"As a faculty member, I want to upload my scholarly work to the repository, so that I can reach a non-academic audience, expand my influence within my academic community, and use it for teaching.",9,25,10,11,4
"As a library staff member, I want to upload material to the repository on the author's behalf, so that I can fulfill a service obligation.",12,38,9,15,8
"As a library staff member, I want to create metadata for items within the repository that includes document title, description, author, document type, status, file locations, subscribable flag, subject area, release frequency, and keywords for searching.",15,5,31,6,21
"As a library staff member, I want to upload large batches of items simultaneously, including descriptive metadata, so that I can offer service to authors efficiently.",7,20,11,15,18
"As a library staff member, I want to upload an item to the repository that will only become visible after a specific embargo period has expired, so that I can comply with author or publisher requirements.",1,38,38,8,20
"As a library staff member, I want to include supplementary files such as datasets, slideshows, etc. – with DOIs for each, as needed – when uploading a given work, so that I can provide a robust image of the work in question.",19,7,19,17,15
"As a library staff member, I want to deliver streaming media from within the repository, so that I can deliver such content in the manner expected and ensure continued access to said content.",8,17,47,6,4
"As an administrator, I want to have a platform that can support a variety of media file and text-based formats, so that the intellectual output of the school can be showcased and preserved in a more comprehensive way.",13,11,3,8,7
"As a library staff member, I want to be able to assign an item to more than one collection.",11,16,16,14,6
"As a library staff member, I want to be able to add custom metadata fields for deposits I make on behalf of researchers to allow for better search capabilities.",10,33,35,15,1
"As a DB/IR administrator, I want to upload revised report/dataset due to error in report/document.",11,13,24,20,4
"As a DB/IR administrator, I want to upload new version of report/dataset while retaining previous versions for patron use.",3,6,9,9,30
"As a DB/IR administrator, I want to have the system recognize/categorize document type (e.g. historical report still published, expired historical report, single topic dataset, broad topic dataset, report with subtopic, computer file), so that report/dataset is processed and displayed properly.",4,39,6,6,11
"As a Cornell faculty member, I want to easily assign a CC license to the files I are depositing, so that users know how the materials can be used.",15,19,36,10,6
"As a repository support team member, I want to export a set of records and associated files, manipulate this data set, and reload into the system, because I am aware of a uniform error in a collection.",5,20,49,10,6
"As a Cornell faculty member, I want to associate a researcherID or ORCID with a submission, so that there is no ambiguity between my work and someone else with the same name.",16,2,32,15,22
"As a student, I want to upload to the repository the data that is associated with my embargoed dissertation to meet requirements of a DMP I submitted with my NSF DDIG.",10,23,34,10,14
"As a library staff member, I want to have customizable metadata fields, so that each project is described in the most accurate way possible.",1,32,29,6,18
"As a faculty member, I want to associate files with my scholarly works such that someone accessing the latter also receives access to the former, so that I can deliver the fullest picture of my research.",11,16,23,12,1
"As a library staff member, I want to use content and metadata from the repository in other systems and/or web pages easily, so that I can deliver such content in the manner best fit to the audience or occasion.",15,31,36,9,27
"As an Extension Administrator, I want to make resources that were developed for specific projects and geographic areas available to other faculty and educators across NYS.",20,19,11,7,4
"As an Extension Administrator or Staff Content Manager, I want to get periodic IR reminders, including when something needs attention (including next ingestion/approval steps), or something that might need to move from a current knowledge collection to Historical.",6,17,45,14,3
"As a researcher, I want to promote/share my work through interactive maps, so that I can display the range and extent of my work graphically.",2,15,35,15,26
"As an Extension Educator, I want to have a place to store a variety of documents, presentations and data sets I've created, that doesn't require an extra step in making available on my own County/Region/Project site (i.e. a list or directory of materials there is automatically updated when placed in a central archive/repository).",2,26,43,2,15
"As a patron, I want to know other reports/datasets that are related (e.g. see also) to report/dataset being viewed for the purpose finding other related information.",13,16,12,10,26
"As a patron, I want to know previous name(s) and publication date range (first version-last version) of reports/datasets, so that I can know what historical versions are available and how current more recent version is.",19,39,42,5,17
"As a patron, I want to create a personal account to request email notification when new version of report/dataset is available.",3,31,24,3,19
"As a patron, I want to download report/dataset release calendar to load into own calendar.",6,2,17,12,7
"As a librarydiscoveryoperator, I want to harvest useful metadata from the repository via OAI, and continue to do so incrementally, so that I can make Cornell publications discoverable in my repository.",16,21,15,17,19
"As a library staff member, I want to quickly correct errors in uploaded metadata, and even uploaded documents, while leaving a record of my revisions (and possibly the reasons behind them), so that I can present correct versions of content and to locate points of error.",19,22,1,4,11
"As a library staff member, I want to receive a quick response and a reasonable resolution to tech support issues, so that service can proceed with minimal interruption.",11,28,22,1,30
"As a Cornell faculty member, I want to share on the repository files that are larger than 1GB in a way that still allows users to download them if I want to use them, so that I can meet funder requirements.",1,36,24,15,23
"As a DB/IR administrator, I want to login to personal account with access to authorized functions.",16,26,18,7,20
"As a DB/IR administrator, I want to have a personal account with the ability to change passwords to make them more secure or to retrieve forgotten ones.",11,11,46,16,9
"As a DB/IR administrator, I want to set up or delete accounts for other administrators with various levels of permission.",3,38,42,12,1
"As a DB/IR administrator, I want to see a list of all administrators for ease of administering accounts.",20,36,2,12,7
"As a DB/IR administrator, I want to have robust searching and tracking features for existing and newly created patron accounts.",16,34,50,6,10
"As a DB/IR administrator, I want to unpublish a report/dataset if requested to do so by USDA agency.",15,2,19,6,28
"As a DB/IR administrator, I want to add future release dates of reports/datasets to calendar for patron FYI.",1,17,50,4,11
"As a faculty member, I want to recommend a digital collection be built in the repository, so that I can assist in my research.",15,31,8,1,12
"As a DB/IR administrator, I want to search for administrator accounts using full/partial email or name.",4,3,18,1,11
"As a DB/IR administrator, I want to administrate patron accounts for purpose of closing accounts, viewing subscriptions, changing subscriptions, resetting passwords, changing email address, etc.",2,19,12,15,3
"As a library staff member, I want to create custom metadata fields for certain collections, and allow searching of those fields, so that I can best reflect and deliver diverse content.",9,39,1,11,4
"As a repository support team member, I want to move a collection, so that I can fulfill the collection owner's request.",12,4,11,4,19
"As a repository support team member, I want to rename a collection, so that I can fulfill the collection owner's request.",17,17,34,15,26
"As an asset manager, I want to be assured that the digital copy I deposit is stored redundantly, so that when one copy suffers destruction or unwanted changes, I still have other good copies to restore from.",11,13,12,1,18
"As an asset manager, I want to be assured that threats to copies in one repository are not automatically incurred by the redundant copies.",13,23,37,13,7
"As an asset manager, I want to be assured that the redundant copies are continuously monitored for unwanted changes, and that if/when changes do occur, there is a mechanism by which I can determine the original object and restore it to all copies.",4,21,37,18,19
"As an asset manager, I want to be assured that the assets can be taken out of the repository, and that the assets taken out are the same as those that are put in.",7,2,16,6,10
"As an asset manager, I want to know what the intellectual value of the asset is to the institution at the time of deposit, so that I obtain guidance in the evaluation of it for current value for the institution.",9,13,29,14,14
"As an asset manager, I want to have a mechanism to obtain a listing or understanding of all the assets that have been deposited, and their current status.",1,19,29,4,12
"As an asset manager, I want to be assured that funding and staffing of the IR have a commitment to longevity of the repository through published plans and/or explicit contract clauses.",6,13,20,1,23
"As a stakeholder, I want to have files adequately described, so that I can successfully render them in my contemporary operating environment.",6,15,11,5,11
"As a library staff member, I want to preserve both the content and the metadata within the repository in a robust manner, so that I can provide stable, long-term access to this material.",16,30,18,3,4
"As a data curator, I want to upload a new version of an item that has changed, while still allowing old versions to be accessed.",15,18,17,16,15
"As a library staff member, I want to preserve the scholarship of the law school by using sustainable links that will not succumb to link rot, so that I can create a permanent digital archive for the scholarship of my institution.",16,18,34,11,11
"As a library staff member, I want to create a collection, sometimes with custom metadata fields, so that I can house digital material for wider distribution.",4,21,23,16,14
"As a library staff member, I want to trace the list of revisors to determine who uploaded an item to the repository, so that I can confirm that proper procedures were followed.",11,20,3,17,8
"As an asset manager, I want to be assured that there is a formal plan for the disposition of assets if the IR should cease.",4,4,5,4,8
"As an asset manager, I want to have mechanism to pass ownership/management of the assets to a successor.",12,26,11,1,12
"As a patron, I want to email system provider to report issues and ask questions.",19,7,12,10,5
"As a data curator, I want to have a mechanism to allow for records scheduling for items that do not need to be stored indefinitely.",13,15,4,6,1
"As a data curator, I want to upload a new version of an item that has changed, while still allowing old versions to be accessed.",15,36,33,4,20
